"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","동아리수","참여학생수","지도교사수","자원봉사 또는외부강사수","동아리활동 예산지원현황","동아리수","참여학생수","지도교사수","자원봉사 또는외부강사수","동아리활동 예산지원현황"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 유성구","S060001064","대전외삼중학교","03","공립","N","","47","822","47","0","4500000","20","155","20","1","1900000"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 서구","S060001065","대전구봉중학교","03","공립","N","","36","703","36","0","1000000","8","98","8","1","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 유성구","S060001066","대전두리중학교","03","공립","N","","29","498","29","0","3600000","16","130","16","0","6400000"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 대덕구","S060001084","대전대청중학교","03","공립","N","","37","569","40","0","4500000","4","57","4","0","3520000"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 유성구","S060001090","대전자운중학교","03","공립","N","","13","100","13","1","1900000","0","0","0","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 유성구","S060001116","대전하기중학교","03","공립","N","","27","493","27","0","6400000","6","79","6","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 유성구","S060001117","대전동화중학교","03","공립","N","","34","706","34","0","3500000","17","124","17","0","1500000"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 서구","S060001118","대전괴정중학교","03","공립","N","","28","534","28","0","0","2","21","2","0","0"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 중구","S060001135","대전글꽃중학교","03","공립","N","","85","2194","85","0","3000000","20","212","20","0","0"
"대전광역시교육청","대전광역시동부교육지원청","대전광역시 동구","S060001139","대전은어송중학교","03","공립","N","","43","741","43","0","0","21","188","21","0","1500000"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 유성구","S060001174","대전관평중학교","03","공립","N","","39","762","39","2","500000","25","162","25","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 유성구","S060001180","대전봉명중학교","03","공립","N","","42","1262","43","3","1300000","6","83","6","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 서구","S060001217","대전도안중학교","03","공립","N","","46","887","46","0","3000000","16","115","16","0","1000000"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 유성구","S060001245","대전덕명중학교","03","공립","N","","24","483","24","1","2500000","4","36","4","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 유성구","S060001290","대전새미래중학교","03","공립","N","","40","812","40","2","15300000","4","29","4","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 유성구","S060001375","대전원신흥중학교","03","공립","N","","46","938","46","0","2300000","25","264","25","0","1250000"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 유성구","S060001384","대전둔곡중학교","03","공립","N","","7","65","7","0","400000","7","52","7","0","700000"
