"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","교장(남)","교장(여)","교장(휴직교원)","교장(계)","교감(남)","교감(여)","교감(휴직교원)","교감(계)","수석교사(남)","수석교사(여)","수석교사(휴직교원)","수석교사(계)","보직교사(남)","보직교사(여)","보직교사(휴직교원)","보직교사(계)","일반교사(남)","일반교사(여)","일반교사(휴직교원)","일반교사(계)","특수교사(남)","특수교사(여)","특수교사(휴직교원)","특수교사(계)","전문상담교사(남)","전문상담교사(여)","전문상담교사(휴직교원)","전문상담교사(계)","사서교사(남)","사서교사(여)","사서교사(휴직교원)","사서교사(계)","실기교사(남)","실기교사(여)","실기교사(휴직교원)","실기교사(계)","보건교사(남)","보건교사(여)","보건교사(휴직교원)","보건교사(계)","영양교사(남)","영양교사(여)","영양교사(휴직교원)","영양교사(계)","기간제교사(남)","기간제교사(여)","기간제교사(휴직교원)","기간제교사(계)","강사(남)","강사(여)","강사(휴직교원)","강사(계)","총계(남)","총계(여)","총계(휴직교원)","총계(계)","원어민강사(남)","원어민강사(여)","원어민강사(계)","휴직교원수"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000205","대전한빛고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","6","6","0","12","12","8","4","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","7","11","0","18","0","0","0","0","27","26","4","53","0","0","0","4"
"대전광역시교육청","대전광역시교육청","대전광역시 대덕구","S060000206","동대전고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","7","8","0","15","11","35","2","46","1","3","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","2","4","0","6","0","0","0","0","23","51","2","74","0","0","0","2"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000207","동방고등학교","04","사립","N","","0","1","0","1","1","0","0","1","0","0","0","0","7","7","0","14","12","17","4","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","9","9","0","18","1","6","0","7","30","41","4","71","0","0","0","4"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000208","대전동신과학고등학교","04","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","11","2","0","13","8","17","2","25","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","2","0","2","1","1","0","2","0","1","0","1","21","26","2","47","0","0","0","2"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000211","명석고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","13","0","0","13","15","12","1","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","12","0","25","0","0","0","0","43","24","1","67","0","0","0","1"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000212","보문고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","12","1","0","13","22","10","3","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","14","0","30","0","0","0","0","52","25","3","77","0","0","0","3"
"대전광역시교육청","대전광역시교육청","대전광역시 대덕구","S060000213","대전이문고등학교","04","사립","N","","1","0","0","1","0","1","0","1","0","0","0","0","10","4","0","14","10","10","2","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","9","0","17","0","0","0","0","29","24","2","53","0","0","0","2"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000214","서대전고등학교","04","사립","N","","0","1","0","1","1","0","0","1","0","0","0","0","10","3","0","13","22","3","3","25","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","11","0","23","0","0","0","0","45","19","3","64","0","0","0","3"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000216","서대전여자고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","9","2","0","11","6","8","2","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","22","0","25","0","0","0","0","20","32","2","52","0","0","0","2"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000217","서일고등학교","04","사립","N","","0","1","0","1","1","0","0","1","0","0","0","0","12","2","0","14","13","9","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","13","0","17","1","0","0","1","31","25","0","56","0","0","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000219","서일여자고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","9","5","0","14","9","8","2","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","5","12","0","17","0","0","0","0","25","26","3","51","0","0","0","3"
"대전광역시교육청","대전광역시교육청","대전광역시 대덕구","S060000223","신탄진고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","9","5","0","14","7","24","5","31","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","2","0","2","3","4","0","7","0","0","0","0","21","38","5","59","0","0","0","5"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000225","우송고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","14","0","0","14","19","8","2","27","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","12","0","19","0","0","0","0","42","21","2","63","0","0","0","2"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000226","유성고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","7","7","0","14","21","30","5","51","0","2","0","2","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","2","1","2","1","9","0","10","0","0","0","0","31","52","7","83","0","0","0","7"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000228","유성생명과학고등학교","04","공립","N","","0","1","0","1","1","0","0","1","1","0","0","1","11","8","0","19","11","21","5","32","0","4","0","4","0","1","0","1","0","1","0","1","0","0","0","0","0","1","1","1","0","0","0","0","6","8","0","14","0","0","0","0","30","45","6","75","0","0","0","6"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000229","유성여자고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","6","8","0","14","13","10","1","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","0","10","0","0","0","0","23","26","1","49","0","0","0","1"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000231","중일고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","9","4","0","13","9","8","1","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","11","8","0","19","0","0","0","0","31","21","1","52","0","0","0","1"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000232","청란여자고등학교","04","사립","N","","1","0","0","1","0","0","0","0","0","0","0","0","3","10","0","13","5","8","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","13","0","20","0","0","0","0","16","31","0","47","0","0","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000233","충남고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","10","4","0","14","23","29","8","52","0","2","0","2","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","2","0","2","2","11","0","13","0","0","0","0","37","50","8","87","0","0","0","8"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000234","충남기계공업고등학교","04","공립","N","","1","0","0","1","0","1","0","1","1","0","0","1","17","5","0","22","29","25","5","54","2","1","1","3","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","2","0","2","6","5","0","11","1","1","0","2","57","42","6","99","0","0","0","6"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000236","충남여자고등학교","04","공립","N","","1","0","0","1","1","1","0","2","0","0","0","0","10","5","0","15","15","42","3","57","0","4","1","4","0","1","0","1","0","1","1","1","0","0","0","0","0","1","0","1","0","0","0","0","1","6","0","7","1","0","0","1","29","61","5","90","0","0","0","5"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000239","한밭고등학교","04","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","3","11","0","14","9","35","5","44","0","1","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","3","2","0","5","1","0","0","1","17","52","6","69","0","0","0","6"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000243","호수돈여자고등학교","04","사립","N","","0","1","0","1","1","0","0","1","0","0","0","0","4","7","0","11","12","21","2","33","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","10","0","16","0","0","0","0","23","40","2","63","0","0","0","2"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060001048","대전반석고등학교","04","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","9","5","0","14","17","24","5","41","0","3","1","3","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","3","6","0","9","0","3","0","3","30","44","6","74","0","0","0","6"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060001049","대전구봉고등학교","04","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","3","11","0","14","10","25","6","35","1","2","0","3","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","2","0","2","1","8","0","9","0","3","0","3","16","54","6","70","0","0","0","6"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060001085","대전전민고등학교","04","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","8","6","0","14","15","23","2","38","1","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","2","0","2","0","8","0","8","0","0","0","0","25","42","2","67","0","0","0","2"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060001086","대전괴정고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","7","7","0","14","11","30","3","41","0","3","1","3","0","1","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","4","1","0","5","0","0","0","0","24","44","4","68","0","0","0","4"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060001089","대전지족고등학교","04","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","6","7","0","13","21","27","7","48","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","2","8","0","10","1","3","0","4","31","48","8","79","0","0","0","8"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060001112","대전용산고등학교","04","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","9","5","0","14","13","28","4","41","2","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","7","7","0","14","0","0","0","0","32","43","5","75","0","0","0","5"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060001145","대전가오고등학교","04","공립","N","","0","1","0","1","0","1","0","1","0","0","0","0","7","8","0","15","12","18","2","30","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","2","0","2","1","3","0","4","0","1","0","1","21","36","2","57","0","0","0","2"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060001177","대전복수고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","5","9","0","14","12","19","2","31","1","2","1","3","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","2","0","2","0","8","0","8","0","4","0","4","20","46","3","66","0","0","0","3"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060001274","대전도안고등학교","04","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","7","7","0","14","19","27","1","46","1","0","0","1","1","0","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","2","0","2","2","4","0","6","0","1","0","1","31","44","1","75","0","0","0","1"
